total_fitness,current_fitness,previous_fitness,live_enemies_count,dead_enemies_count,token,created_at
0.05235102,0.05235102,0.0,3,0,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE2Nzg5ODIsImp0aSI6IjM0ZDY0NmE2LTBmNzAtNDMzNC1iNzE5LWE5MTQ3ZDBkMTc0ZCJ9.,2023-08-10 14:52:05 UTC
0.04971524,0.04943287,0.0002823728,3,1,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE2Nzg5ODIsImp0aSI6IjM0ZDY0NmE2LTBmNzAtNDMzNC1iNzE5LWE5MTQ3ZDBkMTc0ZCJ9.,2023-08-10 14:52:10 UTC
0.05250275,0.05192421,0.0005785459,3,2,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE2Nzg5ODIsImp0aSI6IjM0ZDY0NmE2LTBmNzAtNDMzNC1iNzE5LWE5MTQ3ZDBkMTc0ZCJ9.,2023-08-10 14:52:15 UTC
0.06052579,0.0596723,0.0008534885,3,3,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE2Nzg5ODIsImp0aSI6IjM0ZDY0NmE2LTBmNzAtNDMzNC1iNzE5LWE5MTQ3ZDBkMTc0ZCJ9.,2023-08-10 14:52:20 UTC
0.05340702,0.05223736,0.001169655,3,4,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE2Nzg5ODIsImp0aSI6IjM0ZDY0NmE2LTBmNzAtNDMzNC1iNzE5LWE5MTQ3ZDBkMTc0ZCJ9.,2023-08-10 14:52:25 UTC
0.05354012,0.05237046,0.001169655,3,4,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE2Nzg5ODIsImp0aSI6IjM0ZDY0NmE2LTBmNzAtNDMzNC1iNzE5LWE5MTQ3ZDBkMTc0ZCJ9.,2023-08-10 14:52:30 UTC
0.06331474,0.06183512,0.001479616,3,5,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE2Nzg5ODIsImp0aSI6IjM0ZDY0NmE2LTBmNzAtNDMzNC1iNzE5LWE5MTQ3ZDBkMTc0ZCJ9.,2023-08-10 14:52:35 UTC
0.07737327,0.07559045,0.001782816,4,6,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE2Nzg5ODIsImp0aSI6IjM0ZDY0NmE2LTBmNzAtNDMzNC1iNzE5LWE5MTQ3ZDBkMTc0ZCJ9.,2023-08-10 14:52:40 UTC
0.09216616,0.0900728,0.002093362,5,7,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE2Nzg5ODIsImp0aSI6IjM0ZDY0NmE2LTBmNzAtNDMzNC1iNzE5LWE5MTQ3ZDBkMTc0ZCJ9.,2023-08-10 14:52:45 UTC
0.1166732,0.1136534,0.003019876,6,10,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE2Nzg5ODIsImp0aSI6IjM0ZDY0NmE2LTBmNzAtNDMzNC1iNzE5LWE5MTQ3ZDBkMTc0ZCJ9.,2023-08-10 14:52:50 UTC
0.1332403,0.1296117,0.003628662,7,12,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE2Nzg5ODIsImp0aSI6IjM0ZDY0NmE2LTBmNzAtNDMzNC1iNzE5LWE5MTQ3ZDBkMTc0ZCJ9.,2023-08-10 14:52:55 UTC
0.1682535,0.1640061,0.004247452,9,14,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE2Nzg5ODIsImp0aSI6IjM0ZDY0NmE2LTBmNzAtNDMzNC1iNzE5LWE5MTQ3ZDBkMTc0ZCJ9.,2023-08-10 14:53:00 UTC
0.1982653,0.1928059,0.005459461,11,18,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE2Nzg5ODIsImp0aSI6IjM0ZDY0NmE2LTBmNzAtNDMzNC1iNzE5LWE5MTQ3ZDBkMTc0ZCJ9.,2023-08-10 14:53:05 UTC
0.2407978,0.2353384,0.005459461,14,18,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE2Nzg5ODIsImp0aSI6IjM0ZDY0NmE2LTBmNzAtNDMzNC1iNzE5LWE5MTQ3ZDBkMTc0ZCJ9.,2023-08-10 14:53:10 UTC
0.2397917,0.2337529,0.006038767,14,20,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE2Nzg5ODIsImp0aSI6IjM0ZDY0NmE2LTBmNzAtNDMzNC1iNzE5LWE5MTQ3ZDBkMTc0ZCJ9.,2023-08-10 14:53:15 UTC
0.3456314,0.339309,0.006322415,18,21,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE2Nzg5ODIsImp0aSI6IjM0ZDY0NmE2LTBmNzAtNDMzNC1iNzE5LWE5MTQ3ZDBkMTc0ZCJ9.,2023-08-10 14:53:20 UTC
0.3741956,0.3672275,0.006968072,18,23,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE2Nzg5ODIsImp0aSI6IjM0ZDY0NmE2LTBmNzAtNDMzNC1iNzE5LWE5MTQ3ZDBkMTc0ZCJ9.,2023-08-10 14:53:25 UTC
0.3482882,0.3403695,0.007918678,18,26,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE2Nzg5ODIsImp0aSI6IjM0ZDY0NmE2LTBmNzAtNDMzNC1iNzE5LWE5MTQ3ZDBkMTc0ZCJ9.,2023-08-10 14:53:30 UTC
0.3469853,0.3387648,0.008220488,18,27,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE2Nzg5ODIsImp0aSI6IjM0ZDY0NmE2LTBmNzAtNDMzNC1iNzE5LWE5MTQ3ZDBkMTc0ZCJ9.,2023-08-10 14:53:35 UTC
0.3323908,0.3232731,0.009117699,18,30,eyJhbGciOiJub25lIn0.eyJpYXQiOjE2OTE2Nzg5ODIsImp0aSI6IjM0ZDY0NmE2LTBmNzAtNDMzNC1iNzE5LWE5MTQ3ZDBkMTc0ZCJ9.,2023-08-10 14:53:40 UTC
